,,Visa Free:,38,58,50,65,151,50,65,0,84,141,74,67,67,160,184,79,12,90,75,61,94,70,174,99,59,86,59,87,66,71,66,125,76,129,134,70,50,50,48,167,76,65,54,52,63,136,74,61,61,66,55,54,50,64,126,68,125,67,66,147,168,193,83,49,78,69,57,64,81,58,109,63,48,137,62,61,64,73,173,192,82,66,68,52,10,69,61,176,81,66,164,85,86,71,70,118,70,57,76,56,102,132,163,178,77,65,45,45,0,166,0,137,193,80,0,184,69,69,70,0,86,52,154,42,68,64,54,154,44,77,51,49,166,139,173,101,65,71,85,170,86,57,148,69,78,61,73,80,135,67,63,153,55,75,71,56,68,53,71,76,58,166,73,69,165,107,72,56,67,78,70,165,66,51,63,56,133,76,120,79,72,73,154,180,71,72,65,142,93,56,84,140,68,66,53,66,89,64,164,147,150,79,47,110,78,186,56,59,93,89,29,61,86,51,76,64,70,181,169,50,10,83,78,85,62,58,67,73,93,64,103,55,71,83,72,79,68,170,171,129,65,65,95,140,125,57,62,70,73,59,0,69,62,25
Vanuatu,"Visas are not required from most countries: (All commonwealth countries, Belgium, Denmark, Eire, Fiji, France and its dominions, Germany, Holland, Italy, Japan, Luxembourg, Philippines, Taiwan, South Korea, Sweden, Switzerland, U.S.A.) However you must have a valid, ongoing or return airline ticket and your Passport must be valid for four months beyond your intended stay.",Vanuatu,,,,,,,,,None,,,,,None,,,,None,,None,None,,None,None,,,,,,None,,,,None,,,,,None,None,,,,,,,,,,,,,,,,,,,,None,,None,,,None,,,,,,,,,,,,,None,,None,None,None,None,,,None,,None,None,,,,None,None,,,,,None,,,,,,None,,,,,None,,,None,None,,None,,,None,,None,,None,,,,,,,None,,,,,None,,,,None,None,,,None,,None,,None,None,,,,,,,,,None,,None,None,,None,,None,None,,,None,,,,,,None,,,,None,,,None,,,,,,None,,,,,,,,,,None,None,None,,,None,,None,,,None,,None,None,,None,None,,,,None,None,None,,,None,,None,,,,None,None,,,,,None,None,,,None,None,,,,None,,,,,None,,,,None,None,
,"No requirements, if you can get into italy you can walk on in.",Vatican City,,,,,90 days,,,,,90 days,,,,90 days,None,,,,,,,,None,,,,,90 days,,,,90 days,,90 days,90 days,,,,,90 days,,,,,,90 days,,,,,,,,,90 days,,90 days,,,90 days,90 days,None,,,,,,,,,90 days,,,90 days,,,,,None,None,,,,,,,,None,,,None,,,,,90 days,,,,,90 days,90 days,90 days,None,,,,,,None,,90 days,None,,,90 days,,,,,,,90 days,,,,,90 days,,,,,,90 days,None,90 days,,,,90 days,,,90 days,,,,,,90 days,,,90 days,,,,,,,,,,None,,,90 days,90 days,,,,,,None,,,,,90 days,,90 days,,,,90 days,None,,,,None,,,,90 days,,,,,,,90 days,None,90 days,,,,,None,,,,,,,,,,,,None,90 days,,,,,,,,,,,,None,,,,,,,None,90 days,90 days,,,,90 days,90 days,,,,,,,,,
Venezuela,"No visa required for stays of up to 90 days for nationals from Alemania, Andorra, Antigua y Barbuda, Antillas Neerlandesas, Argentina, Australia, Austria, Barbados, Blgica, Belice, Brasil, Bulgaria, Canad, Costa Rica, Chile, Croacia, Dinamarca, Dominica, Eslovenia, Espaa, Estados Unidos, Francia, Gran Bretaa, Grecia, Grenada, Guatemala, Hong kong (rae), Hungra Irlanda, Islandia, Italia, Jamaica, Japn, Liechtenstein, Lituania, Luxemburgo, Malasia, Mxico, Mnaco, Noruega, Nueva Zelandia, Pases Bajos, Panam, Paraguay, Polonia, Portugal, Republica Checa, Rumania, Santa Lucia, Saint Kitts and Nevis, San Marino, San Vicente y las Granadinas, Sudfrica, Suecia Suiza, Taiwn, Trinidad y Tobago, Uruguay",Venezuela,,,,,90 days,,,,90 days,90 days,,,,90 days,90 days,,,,,,90 days,,90 days,90 days,,,,,,,,90 days,,,90 days,,,,,90 days,,,,,,90 days,,,,,,,,,90 days,,90 days,,,,90 days,90 days,,,90 days,,,,,,,,,,,,,,,90 days,,,,,,,,90 days,,,90 days,,90 days,,,90 days,,,,,,90 days,90 days,90 days,,,,,,90 days,,,90 days,90 days,,90 days,,,,,,,,,,,,,,,,,90 days,90 days,90 days,,,,,90 days,,,,,,,,,90 days,,,90 days,,,,,,,,,,,90 days,,90 days,,,,,,,90 days,,,,,90 days,,90 days,,,,90 days,90 days,,,,90 days,,,,90 days,,,,,,,,,90 days,,,90 days,,90 days,,,90 days,90 days,,,90 days,,,,,,,,,90 days,,,,,,,90 days,,,,,,,,,90 days,90 days,90 days,,,,,,,,,,,,,,
Vietnam,"Most countries need a visa.Nationals of DenmarkFinlandJapanNorwaySouth KoreaSweden can stay for up to 15 days without a visa. Passport holders from Thailand, Malaysia, Singapore, Indonesia, Philippines and Laos  do not require a visa for visits of up to 30 days. Tourist visas are good for thirty days and may be extended after your arrival in Vietnam. Fees vary from embassy to embassy; about $50 in Bangkok and $85 in Washington, for example. A double entry visa is also available for tourists making side trips from Vietnam to destinations in Thailand, Cambodia and Laos.",Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 days,,,,,,,,,,,,,,,,,15 days,,,,,,,,,,,,,,,,,,,,,,,,,,,30 days,,,,,,,,,,15 days,,,,,,,15 days,,,,30 days,,,,,,,,,,,,,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 days,,,,,,,,,30 days,,,,,,,,,,,,,,,,,,30 days,,,,,,,,,,,,,,,,,,,15 days,,,,,,,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://en.wikipedia.org/wiki/Wake_Island,Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.consulfrance-washington.org/spip.php?article407,Wallis and Futuna Islands,,,,,90 days,,,,,,1 month,,,,90 days,90 days,,,,,,,,90 days,,,,,1 month,,,,,,1 month,1 month,,,,,1 month,,,,,,1 month,,,,,,,,,1 month,,1 month,,,90 days,90 days,90 days,,,,,,,,,1 month,,,90 days,,,,,90 days,,,,,,,,,90 days,,,90 days,,,,,1 month,,,,,1 month,1 month RAO,90 days,90 days,,,,,,,,90 days,,,,90 days,,,,1 month,,,,,,,1 month,,,,,90 days,,,,,90 days,90 days,90 days,1 month RAO,,,,1 month,,,90 days,,,,,,1 month,,,90 days,,,,,,,,,,90 days,,,1 month,1 month,,,,,,90 days,,,,,1 month,,1 month,,,,90 days,90 days,,,,,,,,90 days,,,,,,,1 month,90 days,90 days,,,,,90 days,,,,,,,,,,,,90 days,90 days,,,,,,,,,,,,,,,,,,,90 days,1 month,1 month,,,,90 days,,,,,
Western Sahara,http://www.lonelyplanet.com/thorntree/thread.jspa?threadID=1537581,Western Sahara,,,90 days,,90 days,,,,,,90 days,,,,90 days,90 days,,,,90 days,,,,90 days,,,,,,,,,90 days,,,90 days,,,,,90 days,,,,,,90 days,,,,,,90 days,,,,90 days,90 days,,,90 days,90 days,90 days,,,,,,,,,,,,90 days,,,,,90 days,90 days,,,,,,,,90 days,,,90 days,,,,,,90 days,,,,,30 days,90 days,90 days,,90 days,,,,,,90 days,,,,90 days,,,,90 days,,,,,,,90 days,,90 days,,,90 days,,,,90 days,90 days,90 days,90 days,,,,,,,90 days,90 days,,,,,,90 days,,,90 days,,,,,,,,,,90 days,,,90 days,,90 days,,,,,90 days,90 days,,,,,,,90 days,90 days,,90 days,90 days,90 days,90 days,,90 days,,,,,,90 days,90 days,,,,30 days,90 days,90 days,,,,,90 days,,,,,,,,,,,,90 days,90 days,,,,,,,,,,,90 days,90 days,,,,,,90 days,90 days,90 days,,,,,,90 days,,,,
Yemen,"The Government of the Republic of Yemen refuses entry and transit facilities to holders of Israeli passports, or holders of passports containing visas valid or expired for Israel or any indication, such as entry or exit stamps, that the holder has visited Israel. Passport valid for at least 6 months after date of departure required by all. Visas required by all except:  Nationals of Iraq, Jordan and Syriaand transit passengers continuing their journey by the same or first connecting aircraft provided they hold valid onward or return documentation and are not leaving the airport.",Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nationals of all common countries do not require visas to enter Zambia except for the following countries which on reciprocal basis require visas and these are:-Britain, Bangladesh, Gambia, Ghana, India, New Zealand, Nigeria, Mozambique, Sri-Lanka, Sierra Leone, Pakistan, Papa New GuineaLIST OF COMMONWEALTH COUNTRIES WHOSE NATIONALS DO NOT REQUIRE VISAS TO ENTER ZAMBIA  Antigua and Barbuda, Australia, The Bahamas, Bangladesh, Barbados, Belize, Botswana, Brunei, Canada, Cyprus, Dominica, Fiji Islands, Grenada, Jamaica, Kenya, Kiribati, Lesotho, Malawi, Malaysia, Maldives, Malta, Mauritius, Namibia, Naurau, St. Kittis and  Nevis, St. Lucia, St. Vincent and Grenadines, Samoa, Seychelles, Singapore, Solomon Islands, South Africa, Swaziland, Tanzania, Tonga, Trinidad and Tobago, Tuvalu, Uganda, Vanuatu, Zimbabwe. Other nationalities can get a visa at the border for a sum of money.Except the following nationalities who will need to get a visa beforehand;Benin Burkina Faso Cameroun Chad  China Cote D?Ivoire Gabon  Gambia Ghana Greece  Guinea Bissau  Guinea Conakry  Hong Kong India Iran Lebanon Liberia Mali  Niger Nigeria  Pakistan Papa New Guinea  Saudi Arabia Senegal Sierra-Leone South Korea Sri-Lanka  Turkey United-Arab Emirates ",Zambia,At border,At border,At border,At border,At border,At border,At border,,None,At border,At border,At border,At border,None,At border,At border,,None,At border,,None,At border,At border,None,,At border,At border,At border,At border,None,At border,At border,At border,None,At border,,At border,At border,,None,At border,At border,At border,,At border,At border,,At border,At border,At border,At border,At border,At border,At border,At border,,At border,At border,At border,None,At border,At border,At border,At border,None,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,None,At border,At border,At border,At border,At border,,,,At border,At border,,At border,,At border,None,At border,At border,At border,,,At border,At border,At border,,At border,At border,,At border,,At border,,At border,,At border,At border,None,,At border,At border,At border,None,,None,At border,,At border,At border,At border,At border,At border,,None,,At border,At border,At border,At border,At border,At border,At border,None,None,None,,None,At border,At border,At border,None,At border,At border,At border,At border,At border,At border,At border,At border,At border,,At border,None,None,At border,At border,At border,At border,,At border,,,At border,At border,At border,At border,At border,,At border,At border,At border,,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,At border,None,At border,At border,,,At border,None,,None,At border,At border,None,At border,None,At border,At border,,At border,None,None,,At border,None,At border,At border,At border,None,At border,At border,At border,,At border,At border,None,At border,At border,At border,None,None,At border,,At border,At border,None,None,At border,,,At border,At border,At border,At border,None,At border,At border,At border,At border,At border,At border,At border,,At border,At border,"3 months, $50 at border"
Zambia,http://www.africantravel.com/info-zanz-visa.php,Zanzibar,,"3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border",,None,"3 months, $50 at border","3 months, $50 at border",None,,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,,,"3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,,,,,"3 months, $50 at border",,,"3 months, $50 at border","3 months, $50 at border",None,,,"3 months, $50 at border",,"3 months, $50 at border",None,,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,None,,,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,None,None,,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border",None,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,,,"3 months, $50 at border",None,"3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border",None,,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border",None,None,,"3 months, $50 at border",None,,"3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border",,,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border",None,"3 months, $50 at border",,,"3 months, $50 at border","3 months, $50 at border",None,None,"3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border","3 months, $50 at border",None,"3 months, $50 at border","3 months, $50 at border",,"3 months, $50 at border","3 months, $50 at border",
Zimbabwe,"Nationals of the following countries do not need visas to enter ZimbabweAruba, Bahamas, Barbados, Belize, Bermuda, Botswana, Canada, Cayman Islands, Cyprus, Fiji, Grenada, Guyana, Ireland, Jamaica, Kenya, Kiribati, Leeward Islands, Lesotho, Malawi, Malaysia, Maldives, Malta, Mauritius, Montserrat, Namibia, Nauru, Samoa Western, Singapore, Solomon Islands, St. Kitts, St. Lucia, St. Vincent and the Grenadines, Swaziland, Sweden, Tanzania, Tonga, Trinidad and Tobago, Turks and Caicos Islands, Tuvalu, Uganda, Vanuatu, Zambia.Nationals of the following countries can be granted visas at the port of entry upon payment of the requisite visa fees.Argentina, Australia, Austria, Belgium, Brazil, Brunei, Cook Islands, Denmark, Dominica Republic, Egypt, Finland, France, Germany, Ghana, Greece, Iceland, Indonesia, Israel, Italy, Japan, Korea (South), Kuwait, Leitchenstan, Luxembourg, Monaco, Netherlands, New Zealand, Palau Islands, Palestine (State of), Papua New Guinea, Poland, Portugal, Puerto Rico (USA), Seychelles, South Africa, Spain, Switzerland, USA, United Arab Emirates (UAE), United Kingdom, Vatican, Virgin Islands (USA)Nationals of the following countries are required to apply for and obtain visas prior to travelingAfghanistan, Albania, Algeria, Andorra, Angola, Armenia, Azerbaijan, Bahrain, Bangladesh, Belarus, Benin, Bhutan, Bolivia, Bosnia-Herzegovina, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde Islands, Central African Republic, Chad, Chile, China, Colombia, Comoros Islands, Congo Brazzaville, Democratic Republic of Congo (DRC), Costa Rica, Cte d`Ivoire, Croatia, Cuba, Czech Republic, Djibouti Republic, Ecuador, El Salvador, Equatorial Guinea, Eritrea, Estonia, Ethiopia, Eyrom, French Guiana, French Polynesia, French West Indies, Gabon, Gambia, Georgia, Gibraltar, Guam, Guatemala, Guinea Bissau, Guinea Conakry, Haiti, Honduras, Hong Kong, Hungary, India, Iran, Iraq, Jordan, Kazakhstan, Korea (DPRK), Krygystan, Laos, Latvia, Lebanon, Liberia, Libya, Lithuania, Macau, Madagascar, Mali, Marshall Islands, Mauritania, Mexico, Micronesia, Moldova, Mongolia, Morocco, Mozambique, Myanmar, Nepal, New Caledonia, Nicaragua, Nieu, Niger, Nigeria, Norfolk Islands, Northern Mariana Islands, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Qatar, Reunion, Romania, Russia Federation, Rwanda, Samoa (America), San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Sierra Leone, Slovak Republic, Slovenia, Somalia, Taiwan, Tajikistan, Thailand, Togo, Tunisia, Turkey, Turkmenistan, Ukraine, Uruguay, Uzbekistan, Venezuela, Vietnam, Yemen Republic, YugoslaviaSouth African and Ghanaian citizens visiting Zimbabwe obtain visas at the port of entry for free.",Zimbabwe ,,,,,,,None,,None,On entry,,None,,On entry,On entry,,,None,,,None,,On entry,None,,None,,,,None,,On entry,None,On entry,,,,,,None,,None,,,,,,,,,,,,On entry,,,,,,None,,On entry,,,On entry,,,,,On entry,,,,,,,,None,On entry,On entry,,,,,,,,On entry,Free on entry,,On entry,,None,,,,,,None,,,,,On entry,,On entry,,,,None,,On entry,On entry,None,,On entry,,,None,,None,,On entry,,On entry,,,,,None,,,On entry,,On entry,,,,None,None,None,,None,,,,None,,,,,On entry,,,None,,,,None,None,,On entry,,,On entry,,,,,,,,,,On entry,On entry,,On entry,,,,,On entry,On entry,On entry,,,,,,None,,,,,,On entry,,None,,,None,,Free on entry,,On entry,,,None,None,,,None,,,,None,None,On entry,,,,,None,,,,None,None,,,,None,None,None,,On entry,On entry,On entry,,On entry,,None,On entry,,,,,,,,None,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caribbean,,,,,,,None,,None,,,None,,,,,,None,,,None,,,,,,,,,,,,None,,,,,,,,,None,,,,,,,,,,,,,,,,None,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,None,,,,,,,,,,,,,,,,None,,,,None,,,,,,,,None,,,,,,,,,,,,,
,,EU+Schengen,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,,,,,,,,,,,,None,,,,,None,None,,,,,,,,None,,,None,,,,,,,,,,,,None,None,,,,,,None,,,None,,,,,,,,,,,,,,,None,,,,,,None,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,,,,,None,None,,,,None,,,,,,,,,,,,None,None,,,,,None,,,,,,,,,,,,None,None,,,,,,,,,,,,None,,,,,,,None,,,,,,,,,,,,,,,,
,,Commonwealth,,,,,,,,,None,,,,,None,,,,None,,None,None,,,None,,,,,,None,,,,None,,,,,None,None,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,,None,,,,,None,,None,,,,,,,,,None,,,,,,,,,None,None,,,None,,,,None,,,,,,,,,,None,,None,None,,,,,None,,,None,,,,,,None,,,,None,,,,,,,,,,,,,,,,,,,None,None,None,,,None,,None,,,None,,None,None,,,None,,,,None,,,,,,,None,,,,None,None,,,,,None,None,,,None,,,,,None,,,,,,,,,None,None,
,,ECOWAS,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SAARC,,,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CIS,,,,,,,,,,,None,,,,,None,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,None,,,,None,,,,,,None,,,,,,,,,,,,
,,Africa,,,None,,,None,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,None,None,,None,,None,,None,None,,,,,,,None,None,None,,,None,,,,,,,,None,,,,,,None,,None,None,,None,,,,,,,,,None,,None,,,None,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,None,None,None,,,,,,None,None,,,None,,,,None,None,None,,,,,,,,None,None,,None,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,None,,,None,,,None,,None,,None,None,,,,,None,None,,,,None,,,,,,None,,,None,,,,,,,None,,None,,,,None,,,,,None,,,,,,,,,,,,,,None,,,None,,
,,UK and Colonies,,,,,,,None,,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,
,,,,,,,60 days free on arrival,,,,,,,,,60 days free on arrival,60 days free on arrival,,,,None,,,,60 days free on arrival,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,,,,,,,,,,,,None,,,,,None,None,,,,,,,,None,,,None,,,,,,,,,,,,None,None,,,,,,None,,,None,,,,,,,,,,,,None,,,None,,,,,,None,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,None,None,,,,,,,,,,None,None,,None,,None,,,,,,None,,,,,,None,None,,,,,None,,,,,,,,,,,,None,None,,,,,,,,,,,,None,,,,,,None,None,,,,,,,,,,,,,,,,
,,,None,None,None,None,None,None,None,,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ID Card,ID Card,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,None,None,None,None,ID Card,ID Card,None,None,None,None,None,None,None,ID Card,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,ID Card,None,None,None,None,,ID Card,,None,ID Card,None,,None,None,None,None,,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,ID Card,ID Card,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,ID Card,ID Card,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,ID Card,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,ID Card,None,None,None,None,None,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,ID Card,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
